pts,wk,position,player
1216,-1,70,"{'id': 12226, 'name': 'Evan King', 'birthday': '1992-03-25T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
1151,0,71,"{'id': 9153, 'name': 'Denys Molchanov', 'birthday': '1987-05-16T00:00:00.000Z', 'countryAcr': 'UKR', 'country': {'name': 'Ukraine', 'acronym': 'UKR'}}"
1150,0,72,"{'id': 17967, 'name': 'Romain Arneodo', 'birthday': '1992-08-04T00:00:00.000Z', 'countryAcr': 'MON', 'country': {'name': 'Monaco', 'acronym': 'MON'}}"
1147,2,73,"{'id': 48435, 'name': 'Theo Arribage', 'birthday': '2000-10-09T00:00:00.000Z', 'countryAcr': 'FRA', 'country': {'name': 'France', 'acronym': 'FRA'}}"
1141,-1,74,"{'id': 30397, 'name': 'Manuel Guinard', 'birthday': '1995-11-15T00:00:00.000Z', 'countryAcr': 'FRA', 'country': {'name': 'France', 'acronym': 'FRA'}}"
1130,-1,75,"{'id': 29673, 'name': 'Orlando Luz', 'birthday': '1998-02-08T00:00:00.000Z', 'countryAcr': 'BRA', 'country': {'name': 'Brazil', 'acronym': 'BRA'}}"
1095,3,76,"{'id': 13036, 'name': 'Diego Hidalgo', 'birthday': '1993-04-18T00:00:00.000Z', 'countryAcr': 'ECU', 'country': {'name': 'Ecuador', 'acronym': 'ECU'}}"
1088,1,77,"{'id': 41058, 'name': 'Petros Tsitsipas', 'birthday': '2000-07-27T00:00:00.000Z', 'countryAcr': 'GRE', 'country': {'name': 'Greece', 'acronym': 'GRE'}}"
1075,-1,78,"{'id': 14513, 'name': 'Tristan-Samuel Weissborn', 'birthday': '1991-10-24T00:00:00.000Z', 'countryAcr': 'AUT', 'country': {'name': 'Austria', 'acronym': 'AUT'}}"
1073,1,79,"{'id': 1053, 'name': 'Andre Begemann', 'birthday': '1984-07-12T00:00:00.000Z', 'countryAcr': 'GER', 'country': {'name': 'Germany', 'acronym': 'GER'}}"
1055,12,80,"{'id': 36063, 'name': 'Patrik Rikl', 'birthday': '1999-01-06T00:00:00.000Z', 'countryAcr': 'CZE', 'country': {'name': 'Czech Republic', 'acronym': 'CZE'}}"
1044,0,81,"{'id': 26238, 'name': 'Vlad Victor Cornea', 'birthday': '1993-09-24T00:00:00.000Z', 'countryAcr': 'ROU', 'country': {'name': 'Romania', 'acronym': 'ROU'}}"
1042,11,82,"{'id': 42548, 'name': 'Petr Nouza', 'birthday': '1998-09-09T00:00:00.000Z', 'countryAcr': 'CZE', 'country': {'name': 'Czech Republic', 'acronym': 'CZE'}}"
1025,-1,83,"{'id': 4217, 'name': 'Matwe Middelkoop', 'birthday': '1983-09-03T00:00:00.000Z', 'countryAcr': 'NED', 'country': {'name': 'Netherlands', 'acronym': 'NED'}}"
1015,-1,84,"{'id': 14856, 'name': 'Yannick Hanfmann', 'birthday': '1991-11-13T00:00:00.000Z', 'countryAcr': 'GER', 'country': {'name': 'Germany', 'acronym': 'GER'}}"
990,1,85,"{'id': 34298, 'name': 'Dominik Koepfer', 'birthday': '1994-04-29T00:00:00.000Z', 'countryAcr': 'GER', 'country': {'name': 'Germany', 'acronym': 'GER'}}"
981,-10,86,"{'id': 34172, 'name': 'Francisco Cabral', 'birthday': '1997-01-08T00:00:00.000Z', 'countryAcr': 'POR', 'country': {'name': 'Portugal', 'acronym': 'POR'}}"
981,1,87,"{'id': 97227, 'name': 'Mark Wallner', 'birthday': '1999-07-20T00:00:00.000Z', 'countryAcr': 'GER', 'country': {'name': 'Germany', 'acronym': 'GER'}}"
981,1,88,"{'id': 33160, 'name': 'Jakob Schnaitter', 'birthday': '1996-03-07T00:00:00.000Z', 'countryAcr': 'GER', 'country': {'name': 'Germany', 'acronym': 'GER'}}"
976,-2,89,"{'id': 56577, 'name': 'Ryan Seggerman', 'birthday': '1999-08-06T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
960,0,90,"{'id': 24008, 'name': 'Alexander Zverev', 'birthday': '1997-04-20T00:00:00.000Z', 'countryAcr': 'GER', 'country': {'name': 'Germany', 'acronym': 'GER'}}"
960,-7,91,"{'id': 18094, 'name': 'Mackenzie Mcdonald', 'birthday': '1995-04-16T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
955,-1,92,"{'id': 33705, 'name': 'Reese Stalder', 'birthday': '1996-11-12T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
936,-8,93,"{'id': 12195, 'name': 'Marco Bortolotti', 'birthday': '1991-01-21T00:00:00.000Z', 'countryAcr': 'ITA', 'country': {'name': 'Italy', 'acronym': 'ITA'}}"
930,0,94,"{'id': 25543, 'name': 'Karen Khachanov', 'birthday': '1996-05-21T00:00:00.000Z', 'countryAcr': 'RUS', 'country': {'name': 'Russia', 'acronym': 'RUS'}}"
925,0,95,"{'id': 30470, 'name': 'Stefanos Tsitsipas', 'birthday': '1998-08-12T00:00:00.000Z', 'countryAcr': 'GRE', 'country': {'name': 'Greece', 'acronym': 'GRE'}}"
918,1,96,"{'id': 22808, 'name': 'Arjun Kadhe', 'birthday': '1994-01-07T00:00:00.000Z', 'countryAcr': 'IND', 'country': {'name': 'India', 'acronym': 'IND'}}"
917,3,97,"{'id': 103158, 'name': 'Patrik Trhac', 'birthday': '1998-10-31T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
904,1,98,"{'id': 35469, 'name': 'Matthew Christopher Romios', 'birthday': '1999-03-29T00:00:00.000Z', 'countryAcr': 'AUS', 'country': {'name': 'Australia', 'acronym': 'AUS'}}"
902,-1,99,"{'id': 46776, 'name': 'Piotr Matuszewski', 'birthday': '1998-04-22T00:00:00.000Z', 'countryAcr': 'POL', 'country': {'name': 'Poland', 'acronym': 'POL'}}"
897,1,100,"{'id': 10116, 'name': 'Marcus Willis', 'birthday': '1990-10-09T00:00:00.000Z', 'countryAcr': 'GBR', 'country': {'name': 'Great Britain', 'acronym': 'GBR'}}"
863,-5,101,"{'id': 9658, 'name': 'Jonathan Eysseric', 'birthday': '1990-05-27T00:00:00.000Z', 'countryAcr': 'FRA', 'country': {'name': 'France', 'acronym': 'FRA'}}"
853,2,102,"{'id': 26602, 'name': 'Patrik Niklas-Salminen', 'birthday': '1997-03-05T00:00:00.000Z', 'countryAcr': 'FIN', 'country': {'name': 'Finland', 'acronym': 'FIN'}}"
851,0,103,"{'id': 11005, 'name': 'Fernando Romboli', 'birthday': '1989-01-04T00:00:00.000Z', 'countryAcr': 'BRA', 'country': {'name': 'Brazil', 'acronym': 'BRA'}}"
842,9,104,"{'id': 5884, 'name': 'Jeevan Nedunchezhiyan', 'birthday': '1988-10-20T00:00:00.000Z', 'countryAcr': 'IND', 'country': {'name': 'India', 'acronym': 'IND'}}"
838,2,105,"{'id': 8440, 'name': 'Cristian Rodriguez', 'birthday': '1990-06-24T00:00:00.000Z', 'countryAcr': 'COL', 'country': {'name': 'Colombia', 'acronym': 'COL'}}"
829,4,106,"{'id': 22444, 'name': 'Christian Harrison', 'birthday': '1994-05-29T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
821,-5,107,"{'id': 11410, 'name': 'Guillermo Duran', 'birthday': '1988-06-06T00:00:00.000Z', 'countryAcr': 'ARG', 'country': {'name': 'Argentina', 'acronym': 'ARG'}}"
813,1,108,"{'id': 95779, 'name': 'Rithvik Choudary Bollipalli', 'birthday': '2001-01-17T00:00:00.000Z', 'countryAcr': 'IND', 'country': {'name': 'India', 'acronym': 'IND'}}"
810,-1,109,"{'id': 24797, 'name': 'Marcelo Zormann', 'birthday': '1996-06-10T00:00:00.000Z', 'countryAcr': 'BRA', 'country': {'name': 'Brazil', 'acronym': 'BRA'}}"
785,1,110,"{'id': 87562, 'name': 'Ben Shelton', 'birthday': '2002-10-09T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
772,-6,111,"{'id': 9543, 'name': 'Federico Zeballos', 'birthday': '1988-05-30T00:00:00.000Z', 'countryAcr': 'BOL', 'country': {'name': 'Bolivia', 'acronym': 'BOL'}}"
772,-6,112,"{'id': 18527, 'name': 'Boris Arias', 'birthday': '1993-11-09T00:00:00.000Z', 'countryAcr': 'BOL', 'country': {'name': 'Bolivia', 'acronym': 'BOL'}}"
768,-1,113,"{'id': 35337, 'name': 'Niki Kaliyanda Poonacha', 'birthday': '1995-04-27T00:00:00.000Z', 'countryAcr': 'IND', 'country': {'name': 'India', 'acronym': 'IND'}}"
755,1,114,"{'id': 578, 'name': 'Nicolas Mahut', 'birthday': '1982-01-21T00:00:00.000Z', 'countryAcr': 'FRA', 'country': {'name': 'France', 'acronym': 'FRA'}}"
751,4,115,"{'id': 29779, 'name': 'Karol Drzewiecki', 'birthday': '1995-11-01T00:00:00.000Z', 'countryAcr': 'POL', 'country': {'name': 'Poland', 'acronym': 'POL'}}"
751,-2,116,"{'id': 19857, 'name': 'Sergio Martos Gornes', 'birthday': '1994-10-19T00:00:00.000Z', 'countryAcr': 'ESP', 'country': {'name': 'Spain', 'acronym': 'ESP'}}"
735,1,117,"{'id': 92985, 'name': 'Alex Michelsen', 'birthday': '2004-08-25T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
723,5,118,"{'id': 5885, 'name': 'N. Vijay Sundar Prashanth', 'birthday': '1986-10-27T00:00:00.000Z', 'countryAcr': 'IND', 'country': {'name': 'India', 'acronym': 'IND'}}"
721,-2,119,"{'id': 34511, 'name': 'William Blumberg', 'birthday': '1998-01-26T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
711,-4,120,"{'id': 43874, 'name': 'Anirudh Chandrasekar', 'birthday': '1998-07-11T00:00:00.000Z', 'countryAcr': 'IND', 'country': {'name': 'India', 'acronym': 'IND'}}"
690,0,121,"{'id': 9550, 'name': 'Luis David Martinez', 'birthday': '1989-05-12T00:00:00.000Z', 'countryAcr': 'VEN', 'country': {'name': 'Venezuela', 'acronym': 'VEN'}}"
678,0,122,"{'id': 17788, 'name': 'Ji Sung Nam', 'birthday': '1993-08-15T00:00:00.000Z', 'countryAcr': 'KOR', 'country': {'name': 'Korea, Rep.', 'acronym': 'KOR'}}"
675,-3,123,"{'id': 24245, 'name': 'Alexander Bublik', 'birthday': '1997-06-17T00:00:00.000Z', 'countryAcr': 'KAZ', 'country': {'name': 'Kazakhstan', 'acronym': 'KAZ'}}"
650,3,124,"{'id': 14177, 'name': 'Jan-Lennard Struff', 'birthday': '1990-04-25T00:00:00.000Z', 'countryAcr': 'GER', 'country': {'name': 'Germany', 'acronym': 'GER'}}"
650,-1,125,"{'id': 36471, 'name': 'Mick Veldheer', 'birthday': '1996-04-05T00:00:00.000Z', 'countryAcr': 'NED', 'country': {'name': 'Netherlands', 'acronym': 'NED'}}"
648,3,126,"{'id': 49052, 'name': 'Bart Stevens', 'birthday': '1998-01-29T00:00:00.000Z', 'countryAcr': 'NED', 'country': {'name': 'Netherlands', 'acronym': 'NED'}}"
636,-2,127,"{'id': 20950, 'name': 'Filip Bergevi', 'birthday': '1994-04-20T00:00:00.000Z', 'countryAcr': 'SWE', 'country': {'name': 'Sweden', 'acronym': 'SWE'}}"
607,0,128,"{'id': 33060, 'name': 'Johannes Ingildsen', 'birthday': '1997-07-01T00:00:00.000Z', 'countryAcr': 'DEN', 'country': {'name': 'Denmark', 'acronym': 'DEN'}}"
592,1,129,"{'id': 39438, 'name': 'Charles Broom', 'birthday': '1998-04-24T00:00:00.000Z', 'countryAcr': 'GBR', 'country': {'name': 'Great Britain', 'acronym': 'GBR'}}"
590,1,130,"{'id': 33860, 'name': 'Tallon Griekspoor', 'birthday': '1996-07-02T00:00:00.000Z', 'countryAcr': 'NED', 'country': {'name': 'Netherlands', 'acronym': 'NED'}}"
585,1,131,"{'id': 7507, 'name': 'Philipp Oswald', 'birthday': '1986-01-23T00:00:00.000Z', 'countryAcr': 'AUT', 'country': {'name': 'Austria', 'acronym': 'AUT'}}"
569,2,132,"{'id': 58609, 'name': 'Matias Soto', 'birthday': '1999-04-27T00:00:00.000Z', 'countryAcr': 'CHI', 'country': {'name': 'Chile', 'acronym': 'CHI'}}"
568,2,133,"{'id': 10411, 'name': 'Marcelo Demoliner', 'birthday': '1989-01-18T00:00:00.000Z', 'countryAcr': 'BRA', 'country': {'name': 'Brazil', 'acronym': 'BRA'}}"
567,2,134,"{'id': 18474, 'name': 'Mircea-Alexandru Jecan', 'birthday': '1988-06-02T00:00:00.000Z', 'countryAcr': 'ROU', 'country': {'name': 'Romania', 'acronym': 'ROU'}}"
566,2,135,"{'id': 6225, 'name': 'Fabrice Martin', 'birthday': '1986-09-11T00:00:00.000Z', 'countryAcr': 'FRA', 'country': {'name': 'France', 'acronym': 'FRA'}}"
565,2,136,"{'id': 52188, 'name': 'Ray Ho', 'birthday': '2000-02-13T00:00:00.000Z', 'countryAcr': 'TPE', 'country': {'name': 'Chinese Taipei', 'acronym': 'TPE'}}"
562,-4,137,"{'id': 29890, 'name': 'Ivan Liutarevich', 'birthday': '1996-02-20T00:00:00.000Z', 'countryAcr': 'BLR', 'country': {'name': 'Belarus', 'acronym': 'BLR'}}"
555,1,138,"{'id': 1125, 'name': 'Toshihide Matsui', 'birthday': '1978-04-19T00:00:00.000Z', 'countryAcr': 'JPN', 'country': {'name': 'Japan', 'acronym': 'JPN'}}"
553,3,139,"{'id': 29255, 'name': 'George Goldhoff', 'birthday': '1995-01-14T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
548,7,140,"{'id': 21431, 'name': 'David Vega Hernandez', 'birthday': '1994-06-23T00:00:00.000Z', 'countryAcr': 'ESP', 'country': {'name': 'Spain', 'acronym': 'ESP'}}"
