pts,position,player
3775,19,"{'id': 10550, 'name': 'Michael Venus', 'birthday': '1987-10-16T00:00:00.000Z', 'countryAcr': 'NZL', 'country': {'name': 'New Zealand', 'acronym': 'NZL'}}"
3690,20,"{'id': 24200, 'name': 'Jack Withrow', 'birthday': '1993-07-07T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
3690,20,"{'id': 43952, 'name': 'Nathaniel Lammons', 'birthday': '1993-08-12T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
3640,22,"{'id': 1672, 'name': 'Edouard Roger-Vasselin', 'birthday': '1983-11-28T00:00:00.000Z', 'countryAcr': 'FRA', 'country': {'name': 'France', 'acronym': 'FRA'}}"
3535,23,"{'id': 6528, 'name': 'Nikola Mektic', 'birthday': '1988-12-24T00:00:00.000Z', 'countryAcr': 'CRO', 'country': {'name': 'Croatia', 'acronym': 'CRO'}}"
3340,24,"{'id': 801, 'name': 'Santiago Gonzalez', 'birthday': '1983-02-24T00:00:00.000Z', 'countryAcr': 'MEX', 'country': {'name': 'Mexico', 'acronym': 'MEX'}}"
3310,25,"{'id': 4964, 'name': 'Ivan Dodig', 'birthday': '1985-01-02T00:00:00.000Z', 'countryAcr': 'CRO', 'country': {'name': 'Croatia', 'acronym': 'CRO'}}"
3150,26,"{'id': 21070, 'name': 'Hugo Nys', 'birthday': '1991-02-16T00:00:00.000Z', 'countryAcr': 'FRA', 'country': {'name': 'France', 'acronym': 'FRA'}}"
3060,27,"{'id': 29780, 'name': 'Jan Zielinski', 'birthday': '1996-11-16T00:00:00.000Z', 'countryAcr': 'POL', 'country': {'name': 'Poland', 'acronym': 'POL'}}"
2905,28,"{'id': 11009, 'name': 'Austin Krajicek', 'birthday': '1990-06-16T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
2895,29,"{'id': 29469, 'name': 'Fabien Reboul', 'birthday': '1995-09-09T00:00:00.000Z', 'countryAcr': 'FRA', 'country': {'name': 'France', 'acronym': 'FRA'}}"
2685,30,"{'id': 7382, 'name': 'Andres Molteni', 'birthday': '1988-03-15T00:00:00.000Z', 'countryAcr': 'ARG', 'country': {'name': 'Argentina', 'acronym': 'ARG'}}"
2535,31,"{'id': 12229, 'name': 'Sadio Doumbia', 'birthday': '1990-09-12T00:00:00.000Z', 'countryAcr': 'FRA', 'country': {'name': 'France', 'acronym': 'FRA'}}"
2505,32,"{'id': 1936, 'name': 'Maximo Gonzalez', 'birthday': '1983-07-20T00:00:00.000Z', 'countryAcr': 'ARG', 'country': {'name': 'Argentina', 'acronym': 'ARG'}}"
2455,33,"{'id': 20849, 'name': 'Sander Gille', 'birthday': '1991-01-15T00:00:00.000Z', 'countryAcr': 'BEL', 'country': {'name': 'Belgium', 'acronym': 'BEL'}}"
2455,33,"{'id': 29271, 'name': 'Joran Vliegen', 'birthday': '1993-07-07T00:00:00.000Z', 'countryAcr': 'BEL', 'country': {'name': 'Belgium', 'acronym': 'BEL'}}"
2440,35,"{'id': 24870, 'name': 'Rafael Matos', 'birthday': '1996-01-06T00:00:00.000Z', 'countryAcr': 'BRA', 'country': {'name': 'Brazil', 'acronym': 'BRA'}}"
2295,36,"{'id': 1153, 'name': 'Marcelo Melo', 'birthday': '1983-09-23T00:00:00.000Z', 'countryAcr': 'BRA', 'country': {'name': 'Brazil', 'acronym': 'BRA'}}"
2215,37,"{'id': 6508, 'name': 'Jamie Murray', 'birthday': '1986-02-13T00:00:00.000Z', 'countryAcr': 'GBR', 'country': {'name': 'Great Britain', 'acronym': 'GBR'}}"
2085,38,"{'id': 29184, 'name': 'Julian Cash', 'birthday': '1996-08-29T00:00:00.000Z', 'countryAcr': 'GBR', 'country': {'name': 'Great Britain', 'acronym': 'GBR'}}"
2065,39,"{'id': 3345, 'name': 'Jean-Julien Rojer', 'birthday': '1981-08-25T00:00:00.000Z', 'countryAcr': 'NED', 'country': {'name': 'Netherlands', 'acronym': 'NED'}}"
2045,40,"{'id': 43211, 'name': 'Robert Galloway', 'birthday': '1992-09-24T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
2010,41,"{'id': 22439, 'name': 'Adam Pavlasek', 'birthday': '1994-10-08T00:00:00.000Z', 'countryAcr': 'CZE', 'country': {'name': 'Czech Republic', 'acronym': 'CZE'}}"
1950,42,"{'id': 12495, 'name': 'Yuki Bhambri', 'birthday': '1992-07-04T00:00:00.000Z', 'countryAcr': 'IND', 'country': {'name': 'India', 'acronym': 'IND'}}"
1930,43,"{'id': 20099, 'name': 'Lloyd Glasspool', 'birthday': '1993-11-19T00:00:00.000Z', 'countryAcr': 'GBR', 'country': {'name': 'Great Britain', 'acronym': 'GBR'}}"
1916,44,"{'id': 9667, 'name': 'Ariel Behar', 'birthday': '1989-11-12T00:00:00.000Z', 'countryAcr': 'URU', 'country': {'name': 'Uruguay', 'acronym': 'URU'}}"
1865,45,"{'id': 14860, 'name': 'Albano Olivetti', 'birthday': '1991-11-24T00:00:00.000Z', 'countryAcr': 'FRA', 'country': {'name': 'France', 'acronym': 'FRA'}}"
1825,46,"{'id': 48438, 'name': 'Constantin Frantzen', 'birthday': '1998-03-16T00:00:00.000Z', 'countryAcr': 'GER', 'country': {'name': 'Germany', 'acronym': 'GER'}}"
1825,46,"{'id': 30867, 'name': 'Hendrik Jebens', 'birthday': '1995-08-08T00:00:00.000Z', 'countryAcr': 'GER', 'country': {'name': 'Germany', 'acronym': 'GER'}}"
1792,48,"{'id': 29826, 'name': 'Alexander Erler', 'birthday': '1997-10-27T00:00:00.000Z', 'countryAcr': 'AUT', 'country': {'name': 'Austria', 'acronym': 'AUT'}}"
1780,49,"{'id': 26140, 'name': 'Zhizhen Zhang', 'birthday': '1996-10-16T00:00:00.000Z', 'countryAcr': 'CHN', 'country': {'name': 'China', 'acronym': 'CHN'}}"
1675,50,"{'id': 58149, 'name': 'Rinky Hijikata', 'birthday': '2001-02-23T00:00:00.000Z', 'countryAcr': 'AUS', 'country': {'name': 'Australia', 'acronym': 'AUS'}}"
1655,51,"{'id': 12594, 'name': 'Guido Andreozzi', 'birthday': '1991-08-05T00:00:00.000Z', 'countryAcr': 'ARG', 'country': {'name': 'Argentina', 'acronym': 'ARG'}}"
1645,52,"{'id': 58327, 'name': 'Tomas Machac', 'birthday': '2000-10-13T00:00:00.000Z', 'countryAcr': 'CZE', 'country': {'name': 'Czech Republic', 'acronym': 'CZE'}}"
1630,53,"{'id': 48042, 'name': 'Sem Verbeek', 'birthday': '1994-04-12T00:00:00.000Z', 'countryAcr': 'NED', 'country': {'name': 'Netherlands', 'acronym': 'NED'}}"
1580,54,"{'id': 19584, 'name': 'Nicolas Barrientos', 'birthday': '1987-04-24T00:00:00.000Z', 'countryAcr': 'COL', 'country': {'name': 'Colombia', 'acronym': 'COL'}}"
1560,55,"{'id': 7245, 'name': 'Gonzalo Escobar', 'birthday': '1989-01-20T00:00:00.000Z', 'countryAcr': 'ECU', 'country': {'name': 'Ecuador', 'acronym': 'ECU'}}"
1545,56,"{'id': 11735, 'name': 'John Peers', 'birthday': '1988-07-25T00:00:00.000Z', 'countryAcr': 'AUS', 'country': {'name': 'Australia', 'acronym': 'AUS'}}"
1530,57,"{'id': 7345, 'name': 'Aleksandr Nedovyesov', 'birthday': '1987-02-15T00:00:00.000Z', 'countryAcr': 'KAZ', 'country': {'name': 'Kazakhstan', 'acronym': 'KAZ'}}"
1502,58,"{'id': 26887, 'name': 'Lucas Miedler', 'birthday': '1996-06-21T00:00:00.000Z', 'countryAcr': 'AUT', 'country': {'name': 'Austria', 'acronym': 'AUT'}}"
1495,59,"{'id': 9842, 'name': 'John-Patrick Smith', 'birthday': '1989-01-24T00:00:00.000Z', 'countryAcr': 'AUS', 'country': {'name': 'Australia', 'acronym': 'AUS'}}"
1494,60,"{'id': 6302, 'name': 'Miguel-Angel Reyes-Varela', 'birthday': '1987-06-21T00:00:00.000Z', 'countryAcr': 'MEX', 'country': {'name': 'Mexico', 'acronym': 'MEX'}}"
1445,61,"{'id': 20818, 'name': 'Andreas Mies', 'birthday': '1990-08-21T00:00:00.000Z', 'countryAcr': 'GER', 'country': {'name': 'Germany', 'acronym': 'GER'}}"
1415,62,"{'id': 6081, 'name': 'Robin Haase', 'birthday': '1987-04-06T00:00:00.000Z', 'countryAcr': 'NED', 'country': {'name': 'Netherlands', 'acronym': 'NED'}}"
1402,63,"{'id': 10363, 'name': 'N.Sriram Balaji', 'birthday': '1990-03-18T00:00:00.000Z', 'countryAcr': 'IND', 'country': {'name': 'India', 'acronym': 'IND'}}"
1382,64,"{'id': 25810, 'name': 'Skander Mansouri', 'birthday': '1995-07-23T00:00:00.000Z', 'countryAcr': 'TUN', 'country': {'name': 'Tunisia', 'acronym': 'TUN'}}"
1380,65,"{'id': 42451, 'name': 'Sebastian Korda', 'birthday': '2000-07-05T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
1350,66,"{'id': 26003, 'name': 'Andre Goransson', 'birthday': '1994-04-30T00:00:00.000Z', 'countryAcr': 'SWE', 'country': {'name': 'Sweden', 'acronym': 'SWE'}}"
1305,67,"{'id': 26148, 'name': 'Sander Arends', 'birthday': '1991-08-09T00:00:00.000Z', 'countryAcr': 'NED', 'country': {'name': 'Netherlands', 'acronym': 'NED'}}"
1298,68,"{'id': 26321, 'name': 'Luke Johnson', 'birthday': '1994-03-18T00:00:00.000Z', 'countryAcr': 'GBR', 'country': {'name': 'Great Britain', 'acronym': 'GBR'}}"
1276,69,"{'id': 27084, 'name': 'Gregoire Jacq', 'birthday': '1992-11-09T00:00:00.000Z', 'countryAcr': 'FRA', 'country': {'name': 'France', 'acronym': 'FRA'}}"
1216,70,"{'id': 12226, 'name': 'Evan King', 'birthday': '1992-03-25T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
1151,71,"{'id': 9153, 'name': 'Denys Molchanov', 'birthday': '1987-05-16T00:00:00.000Z', 'countryAcr': 'UKR', 'country': {'name': 'Ukraine', 'acronym': 'UKR'}}"
1150,72,"{'id': 17967, 'name': 'Romain Arneodo', 'birthday': '1992-08-04T00:00:00.000Z', 'countryAcr': 'MON', 'country': {'name': 'Monaco', 'acronym': 'MON'}}"
1147,73,"{'id': 48435, 'name': 'Theo Arribage', 'birthday': '2000-10-09T00:00:00.000Z', 'countryAcr': 'FRA', 'country': {'name': 'France', 'acronym': 'FRA'}}"
1141,74,"{'id': 30397, 'name': 'Manuel Guinard', 'birthday': '1995-11-15T00:00:00.000Z', 'countryAcr': 'FRA', 'country': {'name': 'France', 'acronym': 'FRA'}}"
1130,75,"{'id': 29673, 'name': 'Orlando Luz', 'birthday': '1998-02-08T00:00:00.000Z', 'countryAcr': 'BRA', 'country': {'name': 'Brazil', 'acronym': 'BRA'}}"
1095,76,"{'id': 13036, 'name': 'Diego Hidalgo', 'birthday': '1993-04-18T00:00:00.000Z', 'countryAcr': 'ECU', 'country': {'name': 'Ecuador', 'acronym': 'ECU'}}"
1088,77,"{'id': 41058, 'name': 'Petros Tsitsipas', 'birthday': '2000-07-27T00:00:00.000Z', 'countryAcr': 'GRE', 'country': {'name': 'Greece', 'acronym': 'GRE'}}"
1075,78,"{'id': 14513, 'name': 'Tristan-Samuel Weissborn', 'birthday': '1991-10-24T00:00:00.000Z', 'countryAcr': 'AUT', 'country': {'name': 'Austria', 'acronym': 'AUT'}}"
1073,79,"{'id': 1053, 'name': 'Andre Begemann', 'birthday': '1984-07-12T00:00:00.000Z', 'countryAcr': 'GER', 'country': {'name': 'Germany', 'acronym': 'GER'}}"
1055,80,"{'id': 36063, 'name': 'Patrik Rikl', 'birthday': '1999-01-06T00:00:00.000Z', 'countryAcr': 'CZE', 'country': {'name': 'Czech Republic', 'acronym': 'CZE'}}"
1044,81,"{'id': 26238, 'name': 'Vlad Victor Cornea', 'birthday': '1993-09-24T00:00:00.000Z', 'countryAcr': 'ROU', 'country': {'name': 'Romania', 'acronym': 'ROU'}}"
1042,82,"{'id': 42548, 'name': 'Petr Nouza', 'birthday': '1998-09-09T00:00:00.000Z', 'countryAcr': 'CZE', 'country': {'name': 'Czech Republic', 'acronym': 'CZE'}}"
1025,83,"{'id': 4217, 'name': 'Matwe Middelkoop', 'birthday': '1983-09-03T00:00:00.000Z', 'countryAcr': 'NED', 'country': {'name': 'Netherlands', 'acronym': 'NED'}}"
1015,84,"{'id': 14856, 'name': 'Yannick Hanfmann', 'birthday': '1991-11-13T00:00:00.000Z', 'countryAcr': 'GER', 'country': {'name': 'Germany', 'acronym': 'GER'}}"
990,85,"{'id': 34298, 'name': 'Dominik Koepfer', 'birthday': '1994-04-29T00:00:00.000Z', 'countryAcr': 'GER', 'country': {'name': 'Germany', 'acronym': 'GER'}}"
981,86,"{'id': 34172, 'name': 'Francisco Cabral', 'birthday': '1997-01-08T00:00:00.000Z', 'countryAcr': 'POR', 'country': {'name': 'Portugal', 'acronym': 'POR'}}"
981,87,"{'id': 97227, 'name': 'Mark Wallner', 'birthday': '1999-07-20T00:00:00.000Z', 'countryAcr': 'GER', 'country': {'name': 'Germany', 'acronym': 'GER'}}"
981,88,"{'id': 33160, 'name': 'Jakob Schnaitter', 'birthday': '1996-03-07T00:00:00.000Z', 'countryAcr': 'GER', 'country': {'name': 'Germany', 'acronym': 'GER'}}"
976,89,"{'id': 56577, 'name': 'Ryan Seggerman', 'birthday': '1999-08-06T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
960,90,"{'id': 24008, 'name': 'Alexander Zverev', 'birthday': '1997-04-20T00:00:00.000Z', 'countryAcr': 'GER', 'country': {'name': 'Germany', 'acronym': 'GER'}}"
960,91,"{'id': 18094, 'name': 'Mackenzie Mcdonald', 'birthday': '1995-04-16T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
955,92,"{'id': 33705, 'name': 'Reese Stalder', 'birthday': '1996-11-12T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
936,93,"{'id': 12195, 'name': 'Marco Bortolotti', 'birthday': '1991-01-21T00:00:00.000Z', 'countryAcr': 'ITA', 'country': {'name': 'Italy', 'acronym': 'ITA'}}"
930,94,"{'id': 25543, 'name': 'Karen Khachanov', 'birthday': '1996-05-21T00:00:00.000Z', 'countryAcr': 'RUS', 'country': {'name': 'Russia', 'acronym': 'RUS'}}"
925,95,"{'id': 30470, 'name': 'Stefanos Tsitsipas', 'birthday': '1998-08-12T00:00:00.000Z', 'countryAcr': 'GRE', 'country': {'name': 'Greece', 'acronym': 'GRE'}}"
918,96,"{'id': 22808, 'name': 'Arjun Kadhe', 'birthday': '1994-01-07T00:00:00.000Z', 'countryAcr': 'IND', 'country': {'name': 'India', 'acronym': 'IND'}}"
917,97,"{'id': 103158, 'name': 'Patrik Trhac', 'birthday': '1998-10-31T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
904,98,"{'id': 35469, 'name': 'Matthew Christopher Romios', 'birthday': '1999-03-29T00:00:00.000Z', 'countryAcr': 'AUS', 'country': {'name': 'Australia', 'acronym': 'AUS'}}"
902,99,"{'id': 46776, 'name': 'Piotr Matuszewski', 'birthday': '1998-04-22T00:00:00.000Z', 'countryAcr': 'POL', 'country': {'name': 'Poland', 'acronym': 'POL'}}"
897,100,"{'id': 10116, 'name': 'Marcus Willis', 'birthday': '1990-10-09T00:00:00.000Z', 'countryAcr': 'GBR', 'country': {'name': 'Great Britain', 'acronym': 'GBR'}}"
863,101,"{'id': 9658, 'name': 'Jonathan Eysseric', 'birthday': '1990-05-27T00:00:00.000Z', 'countryAcr': 'FRA', 'country': {'name': 'France', 'acronym': 'FRA'}}"
853,102,"{'id': 26602, 'name': 'Patrik Niklas-Salminen', 'birthday': '1997-03-05T00:00:00.000Z', 'countryAcr': 'FIN', 'country': {'name': 'Finland', 'acronym': 'FIN'}}"
851,103,"{'id': 11005, 'name': 'Fernando Romboli', 'birthday': '1989-01-04T00:00:00.000Z', 'countryAcr': 'BRA', 'country': {'name': 'Brazil', 'acronym': 'BRA'}}"
842,104,"{'id': 5884, 'name': 'Jeevan Nedunchezhiyan', 'birthday': '1988-10-20T00:00:00.000Z', 'countryAcr': 'IND', 'country': {'name': 'India', 'acronym': 'IND'}}"
838,105,"{'id': 8440, 'name': 'Cristian Rodriguez', 'birthday': '1990-06-24T00:00:00.000Z', 'countryAcr': 'COL', 'country': {'name': 'Colombia', 'acronym': 'COL'}}"
829,106,"{'id': 22444, 'name': 'Christian Harrison', 'birthday': '1994-05-29T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
821,107,"{'id': 11410, 'name': 'Guillermo Duran', 'birthday': '1988-06-06T00:00:00.000Z', 'countryAcr': 'ARG', 'country': {'name': 'Argentina', 'acronym': 'ARG'}}"
813,108,"{'id': 95779, 'name': 'Rithvik Choudary Bollipalli', 'birthday': '2001-01-17T00:00:00.000Z', 'countryAcr': 'IND', 'country': {'name': 'India', 'acronym': 'IND'}}"
810,109,"{'id': 24797, 'name': 'Marcelo Zormann', 'birthday': '1996-06-10T00:00:00.000Z', 'countryAcr': 'BRA', 'country': {'name': 'Brazil', 'acronym': 'BRA'}}"
785,110,"{'id': 87562, 'name': 'Ben Shelton', 'birthday': '2002-10-09T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
772,111,"{'id': 9543, 'name': 'Federico Zeballos', 'birthday': '1988-05-30T00:00:00.000Z', 'countryAcr': 'BOL', 'country': {'name': 'Bolivia', 'acronym': 'BOL'}}"
772,112,"{'id': 18527, 'name': 'Boris Arias', 'birthday': '1993-11-09T00:00:00.000Z', 'countryAcr': 'BOL', 'country': {'name': 'Bolivia', 'acronym': 'BOL'}}"
768,113,"{'id': 35337, 'name': 'Niki Kaliyanda Poonacha', 'birthday': '1995-04-27T00:00:00.000Z', 'countryAcr': 'IND', 'country': {'name': 'India', 'acronym': 'IND'}}"
755,114,"{'id': 578, 'name': 'Nicolas Mahut', 'birthday': '1982-01-21T00:00:00.000Z', 'countryAcr': 'FRA', 'country': {'name': 'France', 'acronym': 'FRA'}}"
751,115,"{'id': 29779, 'name': 'Karol Drzewiecki', 'birthday': '1995-11-01T00:00:00.000Z', 'countryAcr': 'POL', 'country': {'name': 'Poland', 'acronym': 'POL'}}"
751,116,"{'id': 19857, 'name': 'Sergio Martos Gornes', 'birthday': '1994-10-19T00:00:00.000Z', 'countryAcr': 'ESP', 'country': {'name': 'Spain', 'acronym': 'ESP'}}"
735,117,"{'id': 92985, 'name': 'Alex Michelsen', 'birthday': '2004-08-25T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
723,118,"{'id': 5885, 'name': 'N. Vijay Sundar Prashanth', 'birthday': '1986-10-27T00:00:00.000Z', 'countryAcr': 'IND', 'country': {'name': 'India', 'acronym': 'IND'}}"
721,119,"{'id': 34511, 'name': 'William Blumberg', 'birthday': '1998-01-26T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
711,120,"{'id': 43874, 'name': 'Anirudh Chandrasekar', 'birthday': '1998-07-11T00:00:00.000Z', 'countryAcr': 'IND', 'country': {'name': 'India', 'acronym': 'IND'}}"
690,121,"{'id': 9550, 'name': 'Luis David Martinez', 'birthday': '1989-05-12T00:00:00.000Z', 'countryAcr': 'VEN', 'country': {'name': 'Venezuela', 'acronym': 'VEN'}}"
678,122,"{'id': 17788, 'name': 'Ji Sung Nam', 'birthday': '1993-08-15T00:00:00.000Z', 'countryAcr': 'KOR', 'country': {'name': 'Korea, Rep.', 'acronym': 'KOR'}}"
675,123,"{'id': 24245, 'name': 'Alexander Bublik', 'birthday': '1997-06-17T00:00:00.000Z', 'countryAcr': 'KAZ', 'country': {'name': 'Kazakhstan', 'acronym': 'KAZ'}}"
650,124,"{'id': 14177, 'name': 'Jan-Lennard Struff', 'birthday': '1990-04-25T00:00:00.000Z', 'countryAcr': 'GER', 'country': {'name': 'Germany', 'acronym': 'GER'}}"
650,125,"{'id': 36471, 'name': 'Mick Veldheer', 'birthday': '1996-04-05T00:00:00.000Z', 'countryAcr': 'NED', 'country': {'name': 'Netherlands', 'acronym': 'NED'}}"
648,126,"{'id': 49052, 'name': 'Bart Stevens', 'birthday': '1998-01-29T00:00:00.000Z', 'countryAcr': 'NED', 'country': {'name': 'Netherlands', 'acronym': 'NED'}}"
636,127,"{'id': 20950, 'name': 'Filip Bergevi', 'birthday': '1994-04-20T00:00:00.000Z', 'countryAcr': 'SWE', 'country': {'name': 'Sweden', 'acronym': 'SWE'}}"
607,128,"{'id': 33060, 'name': 'Johannes Ingildsen', 'birthday': '1997-07-01T00:00:00.000Z', 'countryAcr': 'DEN', 'country': {'name': 'Denmark', 'acronym': 'DEN'}}"
592,129,"{'id': 39438, 'name': 'Charles Broom', 'birthday': '1998-04-24T00:00:00.000Z', 'countryAcr': 'GBR', 'country': {'name': 'Great Britain', 'acronym': 'GBR'}}"
590,130,"{'id': 33860, 'name': 'Tallon Griekspoor', 'birthday': '1996-07-02T00:00:00.000Z', 'countryAcr': 'NED', 'country': {'name': 'Netherlands', 'acronym': 'NED'}}"
585,131,"{'id': 7507, 'name': 'Philipp Oswald', 'birthday': '1986-01-23T00:00:00.000Z', 'countryAcr': 'AUT', 'country': {'name': 'Austria', 'acronym': 'AUT'}}"
569,132,"{'id': 58609, 'name': 'Matias Soto', 'birthday': '1999-04-27T00:00:00.000Z', 'countryAcr': 'CHI', 'country': {'name': 'Chile', 'acronym': 'CHI'}}"
568,133,"{'id': 10411, 'name': 'Marcelo Demoliner', 'birthday': '1989-01-18T00:00:00.000Z', 'countryAcr': 'BRA', 'country': {'name': 'Brazil', 'acronym': 'BRA'}}"
567,134,"{'id': 18474, 'name': 'Mircea-Alexandru Jecan', 'birthday': '1988-06-02T00:00:00.000Z', 'countryAcr': 'ROU', 'country': {'name': 'Romania', 'acronym': 'ROU'}}"
566,135,"{'id': 6225, 'name': 'Fabrice Martin', 'birthday': '1986-09-11T00:00:00.000Z', 'countryAcr': 'FRA', 'country': {'name': 'France', 'acronym': 'FRA'}}"
565,136,"{'id': 52188, 'name': 'Ray Ho', 'birthday': '2000-02-13T00:00:00.000Z', 'countryAcr': 'TPE', 'country': {'name': 'Chinese Taipei', 'acronym': 'TPE'}}"
562,137,"{'id': 29890, 'name': 'Ivan Liutarevich', 'birthday': '1996-02-20T00:00:00.000Z', 'countryAcr': 'BLR', 'country': {'name': 'Belarus', 'acronym': 'BLR'}}"
555,138,"{'id': 1125, 'name': 'Toshihide Matsui', 'birthday': '1978-04-19T00:00:00.000Z', 'countryAcr': 'JPN', 'country': {'name': 'Japan', 'acronym': 'JPN'}}"
553,139,"{'id': 29255, 'name': 'George Goldhoff', 'birthday': '1995-01-14T00:00:00.000Z', 'countryAcr': 'USA', 'country': {'name': 'United States', 'acronym': 'USA'}}"
548,140,"{'id': 21431, 'name': 'David Vega Hernandez', 'birthday': '1994-06-23T00:00:00.000Z', 'countryAcr': 'ESP', 'country': {'name': 'Spain', 'acronym': 'ESP'}}"
540,141,"{'id': 29372, 'name': 'Andrey Rublev', 'birthday': '1997-10-20T00:00:00.000Z', 'countryAcr': 'RUS', 'country': {'name': 'Russia', 'acronym': 'RUS'}}"
538,142,"{'id': 22590, 'name': 'Calum Puttergill', 'birthday': '1993-10-22T00:00:00.000Z', 'countryAcr': 'AUS', 'country': {'name': 'Australia', 'acronym': 'AUS'}}"
527,143,"{'id': 40605, 'name': 'Dan Added', 'birthday': '1999-04-13T00:00:00.000Z', 'countryAcr': 'FRA', 'country': {'name': 'France', 'acronym': 'FRA'}}"
527,144,"{'id': 30211, 'name': 'Thomas Fancutt', 'birthday': '1995-02-25T00:00:00.000Z', 'countryAcr': 'AUS', 'country': {'name': 'Australia', 'acronym': 'AUS'}}"
