pts,position,id,name,birthday,countryAcr,country.name,country.acronym
3150,26,21070,Hugo Nys,1991-02-16T00:00:00.000Z,FRA,France,FRA
3060,27,29780,Jan Zielinski,1996-11-16T00:00:00.000Z,POL,Poland,POL
2905,28,11009,Austin Krajicek,1990-06-16T00:00:00.000Z,USA,United States,USA
2895,29,29469,Fabien Reboul,1995-09-09T00:00:00.000Z,FRA,France,FRA
2685,30,7382,Andres Molteni,1988-03-15T00:00:00.000Z,ARG,Argentina,ARG
2535,31,12229,Sadio Doumbia,1990-09-12T00:00:00.000Z,FRA,France,FRA
2505,32,1936,Maximo Gonzalez,1983-07-20T00:00:00.000Z,ARG,Argentina,ARG
2455,33,29271,Joran Vliegen,1993-07-07T00:00:00.000Z,BEL,Belgium,BEL
2455,33,20849,Sander Gille,1991-01-15T00:00:00.000Z,BEL,Belgium,BEL
2440,35,24870,Rafael Matos,1996-01-06T00:00:00.000Z,BRA,Brazil,BRA
2295,36,1153,Marcelo Melo,1983-09-23T00:00:00.000Z,BRA,Brazil,BRA
2215,37,6508,Jamie Murray,1986-02-13T00:00:00.000Z,GBR,Great Britain,GBR
2085,38,29184,Julian Cash,1996-08-29T00:00:00.000Z,GBR,Great Britain,GBR
2065,39,3345,Jean-Julien Rojer,1981-08-25T00:00:00.000Z,NED,Netherlands,NED
2045,40,43211,Robert Galloway,1992-09-24T00:00:00.000Z,USA,United States,USA
2010,41,22439,Adam Pavlasek,1994-10-08T00:00:00.000Z,CZE,Czech Republic,CZE
1950,42,12495,Yuki Bhambri,1992-07-04T00:00:00.000Z,IND,India,IND
1930,43,20099,Lloyd Glasspool,1993-11-19T00:00:00.000Z,GBR,Great Britain,GBR
1916,44,9667,Ariel Behar,1989-11-12T00:00:00.000Z,URU,Uruguay,URU
1865,45,14860,Albano Olivetti,1991-11-24T00:00:00.000Z,FRA,France,FRA
1825,46,48438,Constantin Frantzen,1998-03-16T00:00:00.000Z,GER,Germany,GER
1825,46,30867,Hendrik Jebens,1995-08-08T00:00:00.000Z,GER,Germany,GER
1792,48,29826,Alexander Erler,1997-10-27T00:00:00.000Z,AUT,Austria,AUT
1780,49,26140,Zhizhen Zhang,1996-10-16T00:00:00.000Z,CHN,China,CHN
1675,50,58149,Rinky Hijikata,2001-02-23T00:00:00.000Z,AUS,Australia,AUS
1655,51,12594,Guido Andreozzi,1991-08-05T00:00:00.000Z,ARG,Argentina,ARG
1645,52,58327,Tomas Machac,2000-10-13T00:00:00.000Z,CZE,Czech Republic,CZE
1630,53,48042,Sem Verbeek,1994-04-12T00:00:00.000Z,NED,Netherlands,NED
1580,54,19584,Nicolas Barrientos,1987-04-24T00:00:00.000Z,COL,Colombia,COL
1560,55,7245,Gonzalo Escobar,1989-01-20T00:00:00.000Z,ECU,Ecuador,ECU
1545,56,11735,John Peers,1988-07-25T00:00:00.000Z,AUS,Australia,AUS
1530,57,7345,Aleksandr Nedovyesov,1987-02-15T00:00:00.000Z,KAZ,Kazakhstan,KAZ
1502,58,26887,Lucas Miedler,1996-06-21T00:00:00.000Z,AUT,Austria,AUT
1495,59,9842,John-Patrick Smith,1989-01-24T00:00:00.000Z,AUS,Australia,AUS
1494,60,6302,Miguel-Angel Reyes-Varela,1987-06-21T00:00:00.000Z,MEX,Mexico,MEX
1445,61,20818,Andreas Mies,1990-08-21T00:00:00.000Z,GER,Germany,GER
1415,62,6081,Robin Haase,1987-04-06T00:00:00.000Z,NED,Netherlands,NED
1402,63,10363,N.Sriram Balaji,1990-03-18T00:00:00.000Z,IND,India,IND
1382,64,25810,Skander Mansouri,1995-07-23T00:00:00.000Z,TUN,Tunisia,TUN
1380,65,42451,Sebastian Korda,2000-07-05T00:00:00.000Z,USA,United States,USA
1350,66,26003,Andre Goransson,1994-04-30T00:00:00.000Z,SWE,Sweden,SWE
1305,67,26148,Sander Arends,1991-08-09T00:00:00.000Z,NED,Netherlands,NED
1298,68,26321,Luke Johnson,1994-03-18T00:00:00.000Z,GBR,Great Britain,GBR
1276,69,27084,Gregoire Jacq,1992-11-09T00:00:00.000Z,FRA,France,FRA
1216,70,12226,Evan King,1992-03-25T00:00:00.000Z,USA,United States,USA
1151,71,9153,Denys Molchanov,1987-05-16T00:00:00.000Z,UKR,Ukraine,UKR
1150,72,17967,Romain Arneodo,1992-08-04T00:00:00.000Z,MON,Monaco,MON
1147,73,48435,Theo Arribage,2000-10-09T00:00:00.000Z,FRA,France,FRA
1141,74,30397,Manuel Guinard,1995-11-15T00:00:00.000Z,FRA,France,FRA
1130,75,29673,Orlando Luz,1998-02-08T00:00:00.000Z,BRA,Brazil,BRA
1095,76,13036,Diego Hidalgo,1993-04-18T00:00:00.000Z,ECU,Ecuador,ECU
1088,77,41058,Petros Tsitsipas,2000-07-27T00:00:00.000Z,GRE,Greece,GRE
1075,78,14513,Tristan-Samuel Weissborn,1991-10-24T00:00:00.000Z,AUT,Austria,AUT
1073,79,1053,Andre Begemann,1984-07-12T00:00:00.000Z,GER,Germany,GER
1055,80,36063,Patrik Rikl,1999-01-06T00:00:00.000Z,CZE,Czech Republic,CZE
1044,81,26238,Vlad Victor Cornea,1993-09-24T00:00:00.000Z,ROU,Romania,ROU
1042,82,42548,Petr Nouza,1998-09-09T00:00:00.000Z,CZE,Czech Republic,CZE
1025,83,4217,Matwe Middelkoop,1983-09-03T00:00:00.000Z,NED,Netherlands,NED
1015,84,14856,Yannick Hanfmann,1991-11-13T00:00:00.000Z,GER,Germany,GER
990,85,34298,Dominik Koepfer,1994-04-29T00:00:00.000Z,GER,Germany,GER
981,86,34172,Francisco Cabral,1997-01-08T00:00:00.000Z,POR,Portugal,POR
981,87,97227,Mark Wallner,1999-07-20T00:00:00.000Z,GER,Germany,GER
981,88,33160,Jakob Schnaitter,1996-03-07T00:00:00.000Z,GER,Germany,GER
976,89,56577,Ryan Seggerman,1999-08-06T00:00:00.000Z,USA,United States,USA
960,90,24008,Alexander Zverev,1997-04-20T00:00:00.000Z,GER,Germany,GER
960,91,18094,Mackenzie Mcdonald,1995-04-16T00:00:00.000Z,USA,United States,USA
955,92,33705,Reese Stalder,1996-11-12T00:00:00.000Z,USA,United States,USA
936,93,12195,Marco Bortolotti,1991-01-21T00:00:00.000Z,ITA,Italy,ITA
930,94,25543,Karen Khachanov,1996-05-21T00:00:00.000Z,RUS,Russia,RUS
925,95,30470,Stefanos Tsitsipas,1998-08-12T00:00:00.000Z,GRE,Greece,GRE
918,96,22808,Arjun Kadhe,1994-01-07T00:00:00.000Z,IND,India,IND
917,97,103158,Patrik Trhac,1998-10-31T00:00:00.000Z,USA,United States,USA
904,98,35469,Matthew Christopher Romios,1999-03-29T00:00:00.000Z,AUS,Australia,AUS
902,99,46776,Piotr Matuszewski,1998-04-22T00:00:00.000Z,POL,Poland,POL
897,100,10116,Marcus Willis,1990-10-09T00:00:00.000Z,GBR,Great Britain,GBR
863,101,9658,Jonathan Eysseric,1990-05-27T00:00:00.000Z,FRA,France,FRA
853,102,26602,Patrik Niklas-Salminen,1997-03-05T00:00:00.000Z,FIN,Finland,FIN
851,103,11005,Fernando Romboli,1989-01-04T00:00:00.000Z,BRA,Brazil,BRA
842,104,5884,Jeevan Nedunchezhiyan,1988-10-20T00:00:00.000Z,IND,India,IND
838,105,8440,Cristian Rodriguez,1990-06-24T00:00:00.000Z,COL,Colombia,COL
829,106,22444,Christian Harrison,1994-05-29T00:00:00.000Z,USA,United States,USA
821,107,11410,Guillermo Duran,1988-06-06T00:00:00.000Z,ARG,Argentina,ARG
813,108,95779,Rithvik Choudary Bollipalli,2001-01-17T00:00:00.000Z,IND,India,IND
810,109,24797,Marcelo Zormann,1996-06-10T00:00:00.000Z,BRA,Brazil,BRA
785,110,87562,Ben Shelton,2002-10-09T00:00:00.000Z,USA,United States,USA
772,111,9543,Federico Zeballos,1988-05-30T00:00:00.000Z,BOL,Bolivia,BOL
772,112,18527,Boris Arias,1993-11-09T00:00:00.000Z,BOL,Bolivia,BOL
768,113,35337,Niki Kaliyanda Poonacha,1995-04-27T00:00:00.000Z,IND,India,IND
755,114,578,Nicolas Mahut,1982-01-21T00:00:00.000Z,FRA,France,FRA
751,115,29779,Karol Drzewiecki,1995-11-01T00:00:00.000Z,POL,Poland,POL
751,116,19857,Sergio Martos Gornes,1994-10-19T00:00:00.000Z,ESP,Spain,ESP
735,117,92985,Alex Michelsen,2004-08-25T00:00:00.000Z,USA,United States,USA
723,118,5885,N. Vijay Sundar Prashanth,1986-10-27T00:00:00.000Z,IND,India,IND
721,119,34511,William Blumberg,1998-01-26T00:00:00.000Z,USA,United States,USA
711,120,43874,Anirudh Chandrasekar,1998-07-11T00:00:00.000Z,IND,India,IND
690,121,9550,Luis David Martinez,1989-05-12T00:00:00.000Z,VEN,Venezuela,VEN
678,122,17788,Ji Sung Nam,1993-08-15T00:00:00.000Z,KOR,"Korea, Rep.",KOR
675,123,24245,Alexander Bublik,1997-06-17T00:00:00.000Z,KAZ,Kazakhstan,KAZ
650,124,14177,Jan-Lennard Struff,1990-04-25T00:00:00.000Z,GER,Germany,GER
650,125,36471,Mick Veldheer,1996-04-05T00:00:00.000Z,NED,Netherlands,NED
648,126,49052,Bart Stevens,1998-01-29T00:00:00.000Z,NED,Netherlands,NED
636,127,20950,Filip Bergevi,1994-04-20T00:00:00.000Z,SWE,Sweden,SWE
607,128,33060,Johannes Ingildsen,1997-07-01T00:00:00.000Z,DEN,Denmark,DEN
592,129,39438,Charles Broom,1998-04-24T00:00:00.000Z,GBR,Great Britain,GBR
590,130,33860,Tallon Griekspoor,1996-07-02T00:00:00.000Z,NED,Netherlands,NED
585,131,7507,Philipp Oswald,1986-01-23T00:00:00.000Z,AUT,Austria,AUT
569,132,58609,Matias Soto,1999-04-27T00:00:00.000Z,CHI,Chile,CHI
568,133,10411,Marcelo Demoliner,1989-01-18T00:00:00.000Z,BRA,Brazil,BRA
567,134,18474,Mircea-Alexandru Jecan,1988-06-02T00:00:00.000Z,ROU,Romania,ROU
566,135,6225,Fabrice Martin,1986-09-11T00:00:00.000Z,FRA,France,FRA
565,136,52188,Ray Ho,2000-02-13T00:00:00.000Z,TPE,Chinese Taipei,TPE
562,137,29890,Ivan Liutarevich,1996-02-20T00:00:00.000Z,BLR,Belarus,BLR
555,138,1125,Toshihide Matsui,1978-04-19T00:00:00.000Z,JPN,Japan,JPN
553,139,29255,George Goldhoff,1995-01-14T00:00:00.000Z,USA,United States,USA
548,140,21431,David Vega Hernandez,1994-06-23T00:00:00.000Z,ESP,Spain,ESP
540,141,29372,Andrey Rublev,1997-10-20T00:00:00.000Z,RUS,Russia,RUS
538,142,22590,Calum Puttergill,1993-10-22T00:00:00.000Z,AUS,Australia,AUS
527,143,40605,Dan Added,1999-04-13T00:00:00.000Z,FRA,France,FRA
527,144,30211,Thomas Fancutt,1995-02-25T00:00:00.000Z,AUS,Australia,AUS
525,145,62166,James Kent Trotter,1999-07-29T00:00:00.000Z,JPN,Japan,JPN
521,146,23147,Ramkumar Ramanathan,1994-11-08T00:00:00.000Z,IND,India,IND
516,147,16994,Luke Saville,1994-02-01T00:00:00.000Z,AUS,Australia,AUS
505,148,30748,Kaito Uesugi,1995-06-02T00:00:00.000Z,JPN,Japan,JPN
491,149,46717,Vasil Kirkov,1999-03-13T00:00:00.000Z,USA,United States,USA
490,150,30087,Alejandro Tabilo,1997-06-02T00:00:00.000Z,CHI,Chile,CHI
488,151,12977,Hans Hach Verdugo,1989-11-11T00:00:00.000Z,MEX,Mexico,MEX
485,152,57683,David Stevenson,1999-01-01T00:00:00.000Z,GBR,Great Britain,GBR
482,153,35376,Federico Agustin Gomez,1996-11-26T00:00:00.000Z,ARG,Argentina,ARG
480,154,29932,Taylor Fritz,1997-10-28T00:00:00.000Z,USA,United States,USA
480,155,24249,Botic Van De Zandschulp,1995-10-04T00:00:00.000Z,NED,Netherlands,NED
478,156,76010,Daniel Rincon,2003-01-07T00:00:00.000Z,ESP,Spain,ESP
471,157,67986,Tristan Schoolkate,2001-02-26T00:00:00.000Z,AUS,Australia,AUS
469,158,57963,Mac Kiger,1998-12-19T00:00:00.000Z,USA,United States,USA
467,159,22992,Benjamin Lock,1993-03-04T00:00:00.000Z,ZIM,Zimbabwe,ZIM
453,160,22269,Kaichi Uchida,1994-08-23T00:00:00.000Z,JPN,Japan,JPN
453,161,22115,Matej Sabanov,1992-06-25T00:00:00.000Z,CRO,Croatia,CRO
453,162,23160,Ivan Sabanov,1992-06-25T00:00:00.000Z,CRO,Croatia,CRO
451,163,29720,Szymon Walkow,1995-09-22T00:00:00.000Z,POL,Poland,POL
443,164,30102,Joshua Paris,1996-03-06T00:00:00.000Z,GBR,Great Britain,GBR
432,165,30931,Daniel Cukierman,1995-07-09T00:00:00.000Z,ISR,Israel,ISR
428,166,30465,Simon Freund,1996-09-28T00:00:00.000Z,SWE,Sweden,SWE
426,167,45722,Alex Lawson,1994-01-31T00:00:00.000Z,USA,United States,USA
419,168,29572,Scott Duncan,1994-08-21T00:00:00.000Z,GBR,Great Britain,GBR
417,169,50128,Trey Hilderbrand,2000-05-15T00:00:00.000Z,USA,United States,USA
416,170,50504,Jakub Paul,1999-03-22T00:00:00.000Z,SUI,Switzerland,SUI
416,171,38876,Santiago Rodriguez Taverna,1999-07-16T00:00:00.000Z,ARG,Argentina,ARG
415,172,29667,David Pichler,1996-02-19T00:00:00.000Z,AUT,Austria,AUT
398,173,48871,Yuta Shimizu,1999-06-09T00:00:00.000Z,JPN,Japan,JPN
394,174,83794,Henrique Rocha,2004-04-06T00:00:00.000Z,POR,Portugal,POR
389,175,53532,Liam Draxl,2001-12-05T00:00:00.000Z,CAN,Canada,CAN
384,176,11815,Luca Margaroli,1992-02-15T00:00:00.000Z,SUI,Switzerland,SUI
384,177,22112,Hunter Reese,1993-01-11T00:00:00.000Z,USA,United States,USA
384,178,26514,Giorgio Ricca,1995-02-27T00:00:00.000Z,ITA,Italy,ITA
383,179,76576,Takeru Yuzuki,1998-09-22T00:00:00.000Z,JPN,Japan,JPN
382,180,12534,Renzo Olivo,1992-03-15T00:00:00.000Z,ARG,Argentina,ARG
382,181,17009,Francis Casey Alcantara,1992-02-04T00:00:00.000Z,PHI,Philippines,PHI
378,182,80500,Milos Karol,2002-12-13T00:00:00.000Z,SVK,Slovakia,SVK
376,183,53519,Finn Reynolds,2000-01-04T00:00:00.000Z,NZL,New Zealand,NZL
375,184,12214,Nikola Cacic,1990-12-07T00:00:00.000Z,SRB,Serbia,SRB
374,185,89443,James Tracy,2002-07-10T00:00:00.000Z,USA,United States,USA
374,186,29457,Andrea Pellegrino,1997-03-23T00:00:00.000Z,ITA,Italy,ITA
370,187,4236,Andrey Golubev,1987-07-22T00:00:00.000Z,KAZ,Kazakhstan,KAZ
368,188,30856,Zdenek Kolar,1996-10-09T00:00:00.000Z,CZE,Czech Republic,CZE
368,189,36842,Ben Jones,1998-05-19T00:00:00.000Z,GBR,Great Britain,GBR
367,190,28900,Roman Safiullin,1997-08-07T00:00:00.000Z,RUS,Russia,RUS
360,191,27851,Cameron Norrie,1995-08-23T00:00:00.000Z,GBR,Great Britain,GBR
360,192,26381,Christopher Eubanks,1996-05-05T00:00:00.000Z,USA,United States,USA
360,193,52721,Sebastian Baez,2000-12-28T00:00:00.000Z,ARG,Argentina,ARG
360,194,57913,Blake Bayldon,1998-12-07T00:00:00.000Z,AUS,Australia,AUS
359,195,33614,Blake Ellis,1999-01-06T00:00:00.000Z,AUS,Australia,AUS
357,196,22704,Vladyslav Manafov,1993-04-22T00:00:00.000Z,UKR,Ukraine,UKR
352,197,76009,Abedallah Shelbayh,2003-11-16T00:00:00.000Z,JOR,Jordan,JOR
351,198,56195,Tristan Boyer,2001-04-21T00:00:00.000Z,USA,United States,USA
347,199,18100,David Pel,1991-07-09T00:00:00.000Z,NED,Netherlands,NED
346,200,55634,Neil Oberleitner,1999-08-05T00:00:00.000Z,AUT,Austria,AUT
340,201,66988,Robert Cash,2001-03-07T00:00:00.000Z,USA,United States,USA
331,202,56197,Emilio Nava,2001-12-02T00:00:00.000Z,USA,United States,USA
330,203,63572,Lorenzo Musetti,2002-03-03T00:00:00.000Z,ITA,Italy,ITA
330,204,37164,Benjamin Sigouin,1999-06-03T00:00:00.000Z,CAN,Canada,CAN
328,205,28742,Yunseong Chung,1998-03-27T00:00:00.000Z,KOR,"Korea, Rep.",KOR
328,206,36772,Conner Huertas Del Pino,1995-12-20T00:00:00.000Z,PER,Peru,PER
327,207,23816,Daniel Masur,1994-11-06T00:00:00.000Z,GER,Germany,GER
327,208,29905,Mariano Kestelboim,1996-02-06T00:00:00.000Z,ARG,Argentina,ARG
325,209,83795,Jaime Faria,2003-08-06T00:00:00.000Z,POR,Portugal,POR
323,210,57304,Michael Vrbensky,1999-12-26T00:00:00.000Z,CZE,Czech Republic,CZE
322,211,46407,Mateus Alves,2001-01-23T00:00:00.000Z,BRA,Brazil,BRA
321,212,32887,Benjamin Hassan,1995-02-04T00:00:00.000Z,LIB,Lebanon,LIB
321,213,22431,Andrew Harris,1994-03-07T00:00:00.000Z,AUS,Australia,AUS
321,214,23144,Luis Britto,1993-06-23T00:00:00.000Z,BRA,Brazil,BRA
318,215,67188,Jiri Barnat,2001-07-26T00:00:00.000Z,CZE,Czech Republic,CZE
316,216,7732,Daniel Dutra Da Silva,1988-07-05T00:00:00.000Z,BRA,Brazil,BRA
315,217,37532,Tomas Martin Etcheverry,1999-07-18T00:00:00.000Z,ARG,Argentina,ARG
314,218,31650,Kai Wehnelt,1995-11-27T00:00:00.000Z,GER,Germany,GER
314,219,92649,Tiago Pereira,2004-06-20T00:00:00.000Z,POR,Portugal,POR
313,220,37492,Andres Andrade,1998-12-14T00:00:00.000Z,ECU,Ecuador,ECU
313,221,21520,Augusto Virgili,1994-06-29T00:00:00.000Z,ITA,Italy,ITA
312,222,35296,Remy Bertola,1998-08-31T00:00:00.000Z,SUI,Switzerland,SUI
309,223,66526,Seita Watanabe,2000-12-25T00:00:00.000Z,JPN,Japan,JPN
306,224,31446,Nuno Borges,1997-02-19T00:00:00.000Z,POR,Portugal,POR
304,225,37053,Alexander Donski,1998-08-01T00:00:00.000Z,CAN,Canada,CAN
302,226,47752,Adam Walton,1999-04-17T00:00:00.000Z,AUS,Australia,AUS
302,227,36397,Matej Vocel,1997-05-20T00:00:00.000Z,CZE,Czech Republic,CZE
302,228,24841,Gonzalo Villanueva,1995-01-13T00:00:00.000Z,ARG,Argentina,ARG
302,229,24647,Christoph Negritu,1994-03-21T00:00:00.000Z,GER,Germany,GER
300,230,8298,Marcus Daniell,1989-11-09T00:00:00.000Z,NZL,New Zealand,NZL
300,231,24843,Pruchya Isarow,1995-10-16T00:00:00.000Z,THA,Thailand,THA
299,232,34352,Ajeet Rai,1999-01-18T00:00:00.000Z,NZL,New Zealand,NZL
296,233,79065,Arthur Fery,2002-07-12T00:00:00.000Z,GBR,Great Britain,GBR
296,234,18771,Oriol Roca Batalla,1993-04-30T00:00:00.000Z,ESP,Spain,ESP
295,235,28992,Jay Clarke,1998-07-27T00:00:00.000Z,GBR,Great Britain,GBR
294,236,67172,Paulo Andre Saraiva Dos Santos,2000-06-23T00:00:00.000Z,BRA,Brazil,BRA
292,237,36275,Courtney John Lock,1996-10-18T00:00:00.000Z,ZIM,Zimbabwe,ZIM
291,238,14861,Antoine Escoffier,1992-02-29T00:00:00.000Z,FRA,France,FRA
286,239,18230,Andres Urrea,1994-08-31T00:00:00.000Z,COL,Colombia,COL
285,240,31392,Lorenzo Sonego,1995-05-11T00:00:00.000Z,ITA,Italy,ITA
284,241,17267,Kelsey Stevenson,1990-05-29T00:00:00.000Z,CAN,Canada,CAN
283,242,35323,Matteo Martineau,1999-01-16T00:00:00.000Z,FRA,France,FRA
280,243,36171,Kody Pearson,1999-07-26T00:00:00.000Z,AUS,Australia,AUS
280,244,68970,Luca Sanchez,1999-03-18T00:00:00.000Z,FRA,France,FRA
279,245,8660,Roman Jebavy,1989-11-16T00:00:00.000Z,CZE,Czech Republic,CZE
270,246,83135,Arthur Fils,2004-06-12T00:00:00.000Z,FRA,France,FRA
270,247,27547,Sebastian Ofner,1996-05-12T00:00:00.000Z,AUT,Austria,AUT
270,248,62709,Joshua Sheehy,1997-01-28T00:00:00.000Z,USA,United States,USA
270,249,42123,Ignacio Carou,1999-07-12T00:00:00.000Z,URU,Uruguay,URU
269,250,90774,Filippo Romano,2005-07-07T00:00:00.000Z,ITA,Italy,ITA
268,251,84083,Ilia Simakin,2003-10-27T00:00:00.000Z,RUS,Russia,RUS
267,252,58606,Ryan Nijboer,1999-07-28T00:00:00.000Z,NED,Netherlands,NED
266,253,65727,Tennyson Whiting,2001-09-22T00:00:00.000Z,USA,United States,USA
265,254,56813,Joshua Charlton,1999-07-29T00:00:00.000Z,AUS,Australia,AUS
260,255,44555,Jurij Rodionov,1999-05-16T00:00:00.000Z,AUT,Austria,AUT
260,256,26099,Alexander Merino,1992-08-31T00:00:00.000Z,PER,Peru,PER
260,257,65695,Patrick Harper,2000-01-28T00:00:00.000Z,AUS,Australia,AUS
254,258,29462,Michael Geerts,1995-01-17T00:00:00.000Z,BEL,Belgium,BEL
253,259,36883,Bogdan Pavel,1999-06-11T00:00:00.000Z,ROU,Romania,ROU
252,260,8753,Saketh-Sai Myneni,1987-10-19T00:00:00.000Z,IND,India,IND
252,261,7757,Inigo Cervantes,1989-11-30T00:00:00.000Z,ESP,Spain,ESP
252,262,85193,Aleksandr Lobanov,2001-04-01T00:00:00.000Z,RUS,Russia,RUS
250,263,30849,Tomas Barrios Vera,1997-12-10T00:00:00.000Z,CHI,Chile,CHI
250,264,36257,Vladyslav Orlov,1995-05-17T00:00:00.000Z,UKR,Ukraine,UKR
249,265,22979,Markos Kalovelonis,1994-05-18T00:00:00.000Z,GRE,Greece,GRE
245,266,22428,Evgeny Karlovskiy,1994-08-07T00:00:00.000Z,RUS,Russia,RUS
245,267,48854,Filip Duda,1998-09-30T00:00:00.000Z,CZE,Czech Republic,CZE
241,268,84946,Tomas Lanik,2002-05-16T00:00:00.000Z,SVK,Slovakia,SVK
240,269,37105,Emil Ruusuvuori,1999-04-02T00:00:00.000Z,FIN,Finland,FIN
238,270,1742,Jose Statham,1987-04-25T00:00:00.000Z,NZL,New Zealand,NZL
237,271,22710,Li Tu,1996-05-27T00:00:00.000Z,AUS,Australia,AUS
237,272,48460,Siddhant Banthia,2000-08-04T00:00:00.000Z,IND,India,IND
236,273,45979,Yu Hsiou Hsu,1999-04-02T00:00:00.000Z,TPE,Chinese Taipei,TPE
236,274,38469,Arthur Reymond,1999-04-02T00:00:00.000Z,FRA,France,FRA
236,275,81783,Anthony Genov,2002-03-02T00:00:00.000Z,BUL,Bulgaria,BUL
235,276,22069,Thai Kwiatkowski,1995-02-13T00:00:00.000Z,USA,United States,USA
235,277,34103,Corentin Denolly,1997-06-06T00:00:00.000Z,FRA,France,FRA
233,278,76725,Egor Agafonov,2002-09-05T00:00:00.000Z,RUS,Russia,RUS
232,279,71196,Cleeve Harper,2000-12-24T00:00:00.000Z,CAN,Canada,CAN
232,280,35036,Geoffrey Blancaneaux,1998-08-08T00:00:00.000Z,FRA,France,FRA
230,281,35225,Alexander Weis,1997-04-24T00:00:00.000Z,ITA,Italy,ITA
229,282,34537,Fajing Sun,1996-10-03T00:00:00.000Z,CHN,China,CHN
225,283,20193,Lucas Pouille,1994-02-23T00:00:00.000Z,FRA,France,FRA
225,284,20654,Gregoire Barrere,1994-02-16T00:00:00.000Z,FRA,France,FRA
225,285,4003,Dustin Brown,1984-12-08T00:00:00.000Z,JAM,Jamaica,JAM
225,286,56846,Brandon Nakashima,2001-08-03T00:00:00.000Z,USA,United States,USA
225,287,21506,Roberto Carballes Baena,1993-03-23T00:00:00.000Z,ESP,Spain,ESP
225,288,52279,Francisco Cerundolo,1998-08-13T00:00:00.000Z,ARG,Argentina,ARG
225,289,40789,James Davis,1998-12-10T00:00:00.000Z,GBR,Great Britain,GBR
222,290,17123,Mitchell Krueger,1994-01-12T00:00:00.000Z,USA,United States,USA
222,291,96517,Gianluca Cadenasso,2004-09-29T00:00:00.000Z,ITA,Italy,ITA
221,292,44217,Eduardo Ribeiro,1998-03-17T00:00:00.000Z,BRA,Brazil,BRA
221,293,40382,Damien Wenger,2000-03-17T00:00:00.000Z,SUI,Switzerland,SUI
220,294,67981,Andrew Paulson,2001-11-16T00:00:00.000Z,CZE,Czech Republic,CZE
219,295,45300,Aziz Ouakaa,1999-08-07T00:00:00.000Z,TUN,Tunisia,TUN
217,296,46960,Roy Stepanov,1999-06-02T00:00:00.000Z,ISR,Israel,ISR
216,297,62465,Cannon Kingsley,2001-05-06T00:00:00.000Z,USA,United States,USA
216,298,33947,Grigoriy Lomakin,1998-03-18T00:00:00.000Z,KAZ,Kazakhstan,KAZ
216,299,7348,Vladimir Uzhylovsky,1988-03-25T00:00:00.000Z,UKR,Ukraine,UKR
215,300,37720,Constantin Bittoun Kouzmine,1999-01-04T00:00:00.000Z,FRA,France,FRA
215,301,60323,Bruno Pujol Navarro,2001-08-27T00:00:00.000Z,ESP,Spain,ESP
215,302,68301,Ryuki Matsuda,1999-12-28T00:00:00.000Z,JPN,Japan,JPN
213,303,34349,Hady Habib,1998-08-21T00:00:00.000Z,LIB,Lebanon,LIB
212,304,28108,Alexandre Muller,1997-02-01T00:00:00.000Z,FRA,France,FRA
